name,code,isActive,0
Gascogne,ALBI.PA,0
Gaumont,GAM.PA,0
Gea Grenobl.Elect.,GEA.PA,0
Geci Intl,ALGEC.PA,0
Gecina,GFC.PA,0
General Electric,GNE.PA,0
Geneuro,GNRO.PA,0
Genfit,GNFT.PA,0
Genoway,ALGEN.PA,0
Gensight Biologics,SIGHT.PA,0
Gentlemens Equity,MLGEQ.PA,0
Getlink Se,GET.PA,0
Gevelot,ALGEV.PA,0
Gl Events,GLO.PA,0
Global Bioenergies,ALGBE.PA,0
Global Pielago,MLNDG.PA,0
Gold By Gold,ALGLD.PA,0
Gpe Group Pizzorno,GPE.PA,0
Graines Voltz,GRVO.PA,0
Grolleau,ALGRO.PA,0
Groupe Carnivor,MLGRC.PA,0
Groupe Crit,CEN.PA,0
Groupe Guillin,ALGIL.PA,0
Groupe Jaj,GJAJ.PA,0
Groupe Ldlc,ALLDL.PA,0
Groupe Okwind,ALOKW.PA,0
Groupe Partouche,PARP.PA,0
Groupe Sfpi,SFPI.PA,0
Groupe Tera,ALGTR.PA,0
Groupimo,ALIMO.PA,0
Gtt,GTT.PA,0
Guerbet,GBT.PA,0
Guillemot,GUI.PA,0
Haffner Energy,ALHAF.PA,0
Hamilton Global Op,ALHGO.PA,0
Haulotte Group,PIG.PA,0
Hdf,HDF.PA,0
Healthcare Activos,MLHAY.PA,0
Herige,ALHRG.PA,0
Hermes Intl,RMS.PA,0
Hexaom,ALHEX.PA,0
Hf Company,ALHF.PA,0
High Co,HCO.PA,0
Hipay Group,ALHYP.PA,0
Hitechpros,ALHIT.PA,0
Hk,MLHK.PA,0
Hoche Bains L.Bain,MLHBB.PA,0
Hoffmann,ALHGR.PA,0
Hopening,MLHPE.PA,0
Hopscotch Groupe,ALHOP.PA,0
Hot.Majestic Canne,MLHMC.PA,0
Hoteles Bestprice,MLHBP.PA,0
Hotelim,MLHOT.PA,0
Hotels De Paris,HDP.PA,0
Hotl.Immob.Nice,MLHIN.PA,0
Hunyvers,ALHUN.PA,0
Hydraulique Pb,MLHYD.PA,0
Hydro-Exploit.,MLHYE.PA,0
Hydrogen Refueling,ALHRS.PA,0
I2S,ALI2S.PA,0
Icade,ICAD.PA,0
Icape Holding,ALICA.PA,0
Id Logistics Group,IDL.PA,0
Idi,IDIP.PA,0
Ids,MLIDS.PA,0
Ikonisys,ALIKO.PA,0
Imalliance,MLIML.PA,0
Imerys,NK.PA,0
Imm.Paris.Perle,MLIPP.PA,0
Immersion,ALIMR.PA,0
Immob.Dassault,IMDA.PA,0
Implanet,ALIMP.PA,0
Imprimerie Chirat,MLIMP.PA,0
Impulse Fitness,MLIFS.PA,0
Indle Fin.Entrepr.,INFE.PA,0
Infoclip,MLIFC.PA,0
Infotel,INF.PA,0
Inmark,MLINM.PA,0
Inmosupa,MLISP.PA,0
Innate Pharma,IPH.PA,0
Innelec Multimedia,ALINN.PA,0
Innovative Rfk Spa,MLIRF.PA,0
Installux,ALLUX.PA,0
Integragen,ALINT.PA,0
Interparfums,ITP.PA,0
Intexa,ITXT.PA,0
Intrasense,ALINS.PA,0
Inventiva,IVA.PA,0
Invibes Advertsing,ALINV.PA,0
Iposa Properties,MLIPO.PA,0
Ipsen,IPN.PA,0
Ipsos,IPS.PA,0
Ispd,ALISP.PA,0
It Link,ALITL.PA,0
Jacques Bogart,JBOG.PA,0
Jacquet Metals,JCQ.PA,0
Jcdecaux,DEC.PA,0
Jungle21,MLJ21.PA,0
Kalray,ALKAL.PA,0
Kaufman Et Broad,KOF.PA,0
Kering,KER.PA,0
Kerlink,ALKLK.PA,0
Keyrus,ALKEY.PA,0
Kko International,ALKKO.PA,0
Klarsen,ALKLA.PA,0
Klepierre,LI.PA,0
Kompuestos,ALKOM.PA,0
Kumulus Vape,ALVAP.PA,0
L'Oreal,OR.PA,0
Lacroix Group,LACR.PA,0
Lagardere Sa,MMB.PA,0
Lanson-Bcc,ALLAN.PA,0
Largo,ALLGO.PA,0
Latecoere,LAT.PA,0
Laurent-Perrier,LPE.PA,0
Ldc,LOUP.PA,0
Lebon,ALBON.PA,0
Lectra,LSS.PA,0
Legrand,LR.PA,0
Lepermislibre,ALLPL.PA,0
Les Hotels Baverez,ALLHB.PA,0
